gw_sku,name,mm_url,mm_price
41-28,Blood Angels Librarian in Terminator Armour,https://www.miniaturemarket.com/warhammer-40k-space-marines-librarian-in-terminator-armour-gw-48-06.html,33.99
P-KHORNE-BLOODCRUSHERS,Bloodcrushers of Khorne,,
P-TZEENTCH-BLUEHORRORS,Blue Horrors and Brimstone Horrors,https://www.miniaturemarket.com/gw-97-30.html,38.99
P-223003-99120118019,Buri Aegnirssen,,
61-01,Caanok Var,,
48-105,Captain with Jump Pack and Relic Shield,https://www.miniaturemarket.com/warhammer-40k-space-marines-captain-with-jump-pack-gw-48-17-2023.html,35.99
48-106,Captain with Relic Shield,https://www.miniaturemarket.com/warhammer-40k-blood-angels-captain-gw-41-23-2024.html,35.99
55-32,Cato Sicarius,,
31-67,Cerastus Knight Acheron,https://www.miniaturemarket.com/legions-imperialis-knight-households-cerastus-knights-acheron-castigator-gw-03-30.html,67.99
31-66,Cerastus Knight Castigator,https://www.miniaturemarket.com/legions-imperialis-knight-households-cerastus-knights-acheron-castigator-gw-03-30.html,67.99
P-CSM-DEFILER-2026,Chaos Defiler,https://www.miniaturemarket.com/Warhammer-40K-Chaos-Space-Marines-Defiler-New-Arrival/GW-43-22-2026,
prod2430129-99120102043,Chaos Helbrute,,
99120102052,Chaos Land Raider,https://www.miniaturemarket.com/gw-48-30.html,97.99
43-09,Chaos Predator,https://www.miniaturemarket.com/gw-48-23.html,63.99
99120102092,Chaos Rhino,https://www.miniaturemarket.com/gw-52-26.html,55.99
P-CSM-SORC-TERM,Chaos Sorcerer Lord in Terminator Armour,https://www.miniaturemarket.com/gw-43-69.html,29.99
43-06,Chaos Space Marines Legionaries,https://www.miniaturemarket.com/kill-team-legionaries-gw-102-97-2024.html,63.99
99070102015,Chaos Space Marines Sorcerer,https://www.miniaturemarket.com/gw-43-69.html,29.99
99120201050,Chaos Spawn,https://www.miniaturemarket.com/gw-83-10.html,49.99
99120102097,Chaos Terminator Squad,https://www.miniaturemarket.com/gw-43-19-new.html,53.99
P-CSM-VINDICATOR,Chaos Vindicator,https://www.miniaturemarket.com/gw-48-25.html,63.99
55-33,Chief Librarian Tigurius,,
P-213409-60030102032,Codex: Death Guard,https://www.miniaturemarket.com/gw-43-03.html,
P-223015-60030118002,Codex: Leagues of Votann,,
49-23,Codex: Necrons,,
P-TS-CODEX-2023,Codex: Thousand Sons,https://www.miniaturemarket.com/warhammer-40k-codex-thousand-sons-gw-36-01.html,
P-WE-CODEX-2025,Codex: World Eaters,,
P-240879,Combat Patrol: Aeldari Corsairs,https://www.miniaturemarket.com/Warhammer-40K-Combat-Patrol-Aeldari-Corsairs/GW-73-463-2026,
P-240922,Corsair Skyreavers,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Corsair-Skyreavers/GW-46-80-2026,
P-240923,Corsair Voidreavers,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Corsair-Voidreavers/GW-46-84-2026,
prod3600196,Crimson Hunter,https://www.miniaturemarket.com/gw-46-14.html,78.99
prod2901178,C'tan Shard of The Deceiver,,
P-241016,C'tan Shard of the Nightbringer,https://www.miniaturemarket.com/Warhammer-40K-Necrons-C-tan-Shard-of-the-Nightbringer/GW-49-50-2026,110.99
P-223004-99120118021,Cthonian Earthshakers,,
99129915036,Daemonettes of Slaanesh,https://www.miniaturemarket.com/gw-97-09.html,35.99
99120201130,Daemon Prince,,
44-04,Dark Angels Azrael,https://www.miniaturemarket.com/warhammer-40k-dark-angels-azrael-supreme-grand-master-gw-44-18.html,38.99
44-05,Dark Angels Belial,https://www.miniaturemarket.com/warhammer-40k-dark-angels-belial-grand-master-deathwing-gw-44-23.html,37.99
44-02,Dark Angels Ezekiel,,
44-22,Dark Angels Interrogator-Chaplain,,
44-16,Dark Angels Land Speeder Vengeance,,
44-07,Dark Angels Lazarus,,
44-17,Dark Angels Nephilim Jetfighter,,
44-12,Dark Angels Ravenwing Black Knights,https://www.miniaturemarket.com/gw-44-11.html,53.99
44-09,Dark Angels Ravenwing Command Squad,https://www.miniaturemarket.com/gw-44-11.html,53.99
44-14,Dark Angels Ravenwing Dark Talon,,
44-08,Dark Angels Sammael,,
prod4870189,Dark Reapers,https://www.miniaturemarket.com/gw-46-22.html,53.99
prod4570149-99120102114,Death Guard Chosen of Mortarion,https://www.miniaturemarket.com/gw-43-49.html,144.99
prod4650190-99120102150,Death Guard Lord of Contagion and Blightlord Terminators,https://www.miniaturemarket.com/gw-43-51.html,53.99
P-223010-99120102198,Death Guard Lord of Poxes,,
prod2620120,Death Jester,https://www.miniaturemarket.com/gw-58-15.html,29.99
45-02,Drukhari Archon,https://www.miniaturemarket.com/gw-45-22.html,29.99
45-07,Drukhari Kabalite Warriors,https://www.miniaturemarket.com/gw-45-07.html,
45-12,Drukhari Ravager,,
45-06,Drukhari Wyches,,
prod3650164,Eldrad Ulthran,https://www.miniaturemarket.com/gw-46-60.html,
prod3650295,Farseer Skyrunner,https://www.miniaturemarket.com/gw-46-19.html,
99129915052,Fiends,,
prod770019a,Fire Prism,,
99120102089,Forgefiend,https://www.miniaturemarket.com/gw-43-14.html,71.99
P-203621,Fuegan,https://www.miniaturemarket.com/warhammer-40k-aeldari-fuegan-gw-46-53.html,38.99
prod4870188,Guardian Defenders,https://www.miniaturemarket.com/gw-46-09-2022.html,51
prod3530579,Harlequin Troupe,https://www.miniaturemarket.com/gw-58-10.html,38.99
99120102090,Heldrake,https://www.miniaturemarket.com/gw-43-15.html,71.99
prod3600197,Hemlock Wraithfighter,https://www.miniaturemarket.com/gw-46-14.html,78.99
prod4390157,Howling Banshees,https://www.miniaturemarket.com/gw-46-45.html,53.99
50-41,Hunta Rig,https://www.miniaturemarket.com/gw-50-46.html,123.99
54-21,Imperial Knight Dominus,https://www.miniaturemarket.com/gw-54-21.html,164.99
54-15,Imperial Knight Preceptor / Canis Rex,,
P-223001-99120118020,Ironkin Steeljacks,,
prod4390156,Jain Zar,https://www.miniaturemarket.com/gw-46-49.html,38.99
prod5000456-99120118011,Kahl,,
P-TZEENTCH-KAIROS,Kairos Fateweaver,https://www.miniaturemarket.com/gw-97-26.html,142.99
P-223006-99120118022,Kapricus Defender/Carrier,,
99129915056,Keeper of Secrets,https://www.miniaturemarket.com/gw-97-06.html,142.99
P-240921,Kharseth,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Kharseth/GW-46-81-2026,
P-WE-LORD-SKULLS,Khorne Lord of Skulls,,
P-WE-KT-GOREMONGERS-2025,Kill Team: Goremongers (World Eaters),https://www.miniaturemarket.com/kill-team-goremongers-gw-103-89.html,55.99
P-198770-99120118023,Kill Team: Hearthkyn Salvagers (Leagues of Votann),https://www.miniaturemarket.com/kill-team-hearthkyn-salvagers-gw-103-33-2024.html,55.99
64-01,Kor'sarro Khan,,
P-203618,Lhykhis,https://www.miniaturemarket.com/warhammer-40k-aeldari-lhykhis-gw-46-51.html,38.99
48-123,Lieutenant with Storm Shield,https://www.miniaturemarket.com/warhammer-40k-space-marines-lieutenant-gw-48-73-2023.html,31.99
prod4390155,Lokhust Destroyer Squadron,https://www.miniaturemarket.com/gw-49-28.html,31.99
P-CSM-MASTER-EXEC,Master of Executions,https://www.miniaturemarket.com/gw-43-44.html,29.99
prod4870190,Maugan Ra,https://www.miniaturemarket.com/gw-46-42-2022.html,38.99
99120102089,Maulerfiend,,
50-46,Mek Gunz: Bubblechukka,,
50-47,Mek Gunz: Kustom Mega-kannon,,
50-48,Mek Gunz: Smasha Gun,,
50-49,Mek Gunz: Traktor Kannon,,
P-222997-99120118026,Memnyr Strategist,,
50-50,Morkanaut,https://www.miniaturemarket.com/gw-50-19.html,
P-MUTALITH-VB,Mutalith Vortex Beast,,
NM-010,Necromunda Escher Gang,https://www.miniaturemarket.com/gw-300-11.html,
NM-011,Necromunda Goliath Gang,https://www.miniaturemarket.com/gw-300-10.html,
NM-012,Necromunda Van Saar Gang,https://www.miniaturemarket.com/gw-300-29.html,
49-20,Necron C’tan Shard of the Void Dragon,https://www.miniaturemarket.com/gw-49-30.html,108.99
49-22,Necron Royal Warden,,
prod4900147,Necrons Royal Court,,
P-241017,Nekrosor Ammentar,https://www.miniaturemarket.com/Warhammer-40K-Necrons-Nekrosor-Ammentar/GW-49-52-2026,55.99
prod2180123,Night Spinner,,
prod3550127-99129915060,Nurglings,https://www.miniaturemarket.com/gw-97-18.html,31.99
prod3590140,Obelisk & Transcendent C'tan,,
50-53,Ork Burna Boyz,https://www.miniaturemarket.com/gw-50-22.html,33.99
71-18,Ork Combat Patrol,,
50-16,Ork Deff Dread,,
50-55,Ork Mek,https://www.miniaturemarket.com/warhammer-40k-orks-big-mek-gw-50-68.html,44.99
50-59,Ork Warboss with Attack Squig,,
prod4900150,Overlord with Tachyon Arrow,https://www.miniaturemarket.com/warhammer-40k-necrons-overlord-with-translocation-shroud-gw-49-70.html,33.99
prod3610130-99129915038,Plague Drones of Nurgle,,
P-240880,Prince Yriel,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Prince-Yriel/GW-46-82-2026,
prod4900144,Rangers,https://www.miniaturemarket.com/gw-46-29-2022.html,53.99
44-23,Ravenwing Bike Squadron,https://www.miniaturemarket.com/gw-44-11.html,53.99
P-TZEENTCH-SCREAMERS,Screamers of Tzeentch,,
99129915005,Seekers of Slaanesh,,
prod2620121,Shadowseer,https://www.miniaturemarket.com/gw-58-14.html,
99129915056,Shalaxi Helbane,,
prod4900142,Shining Spears,https://www.miniaturemarket.com/gw-46-28.html,55.99
prod4900145,Shroud Runners,https://www.miniaturemarket.com/gw-46-68.html,59.99
P-KHORNE-SKARBRAND,Skarbrand the Bloodthirster,https://www.miniaturemarket.com/gw-97-28.html,
prod2620124,Skyweavers,https://www.miniaturemarket.com/gw-58-11.html,49.99
prod2620122,Solitaire,,
HA-051,Space Marine Chaplain in Terminator Armour,https://www.miniaturemarket.com/warhammer-40k-space-marines-chaplain-terminator-armour-gw-48-91.html,37.99
71-02,Space Marine Combat Patrol,,
48-29,Space Marine Scouts,https://www.miniaturemarket.com/warhammer-40k-kill-team-space-marines-scout-squad-gw-103-44-2024.html,68
48-25,Space Marine Whirlwind,,
prod4240206,Spiritseer,https://www.miniaturemarket.com/gw-46-61.html,
P-240924,Starfang,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Vyper/GW-46-83-2026,
prod2600170,Starweaver,https://www.miniaturemarket.com/gw-58-12.html,38.99
50-64,Stompa,,
prod770020a,Support Weapon,,
P-203614,Swooping Hawks,https://www.miniaturemarket.com/warhammer-40k-aeldari-swooping-hawks-gw-46-47-2025.html,53.99
56-13,T'au Broadside Battlesuit,https://www.miniaturemarket.com/gw-56-15.html,53.99
56-25,T'au Combat Patrol,https://www.miniaturemarket.com/warhammer-40k-combat-patrol-tau-empire-gw-73-561.html,142.99
56-15,T'au Crisis Battlesuits,https://www.miniaturemarket.com/gw-56-07.html,
56-22,T'au Ethereal,https://www.miniaturemarket.com/gw-56-24.html,29.99
56-06,T'au Fire Warriors,https://www.miniaturemarket.com/gw-56-06.html,51
56-10,T'au Hammerhead Gunship,https://www.miniaturemarket.com/gw-56-11.html,63.99
56-19,T'au Pathfinders,https://www.miniaturemarket.com/gw-56-09.html,38.99
56-16,T'au Riptide Battlesuit,https://www.miniaturemarket.com/gw-56-13.html,100.99
prod3590140,Tesseract Vault,,
prod4870186,The Visarch,,
prod4870191,The Yncarne,,
P-TZAANGORS-40K,Thousand Sons Tzaangors,,
prod2791068,Trazyn the Infinite,,
51-06,Tyranid Carnifex,,
P-TZAANGOR-ENL,Tzaangor Enlightened,https://www.miniaturemarket.com/gw-83-74.html,51
P-TZAANGOR-SHAMAN,Tzaangor Shaman,https://www.miniaturemarket.com/gw-83-76.html,31.99
P-TZAANGOR-UPG,Tzaangor Upgrade Pack,,
55-34,Ultramarines Upgrades and Transfers,,
55-35,Victrix Honour Guard,https://www.miniaturemarket.com/gw-55-21.html,53.99
prod2780228,Voidweaver,https://www.miniaturemarket.com/gw-58-12.html,38.99
63-02,Vulkan He'stan,,
P-240924,Vyper,https://www.miniaturemarket.com/Warhammer-40K-Aeldari-Vyper/GW-46-83-2026,
prod4870187,Warlocks,https://www.miniaturemarket.com/gw-46-16.html,51
prod3660120,Warlock Skyrunner,https://www.miniaturemarket.com/gw-46-16.html,51
P-203611,Warp Spiders,https://www.miniaturemarket.com/warhammer-40k-aeldari-warp-spiders-gw-46-43-2025.html,53.99
P-203606,War Walkers,https://www.miniaturemarket.com/warhammer-40k-aeldari-war-walkers-gw-46-18-2025.html,68
50-66,Weirdboy,,
prod3660121,Windriders,https://www.miniaturemarket.com/gw-46-06.html,
43-64,World Eaters Lord on Juggernaut,,
P-WE-SLAUGHTER-2025,World Eaters Slaughterbound,,
prod3590139,Wraithblades,,
prod3590128,Wraithguard,https://www.miniaturemarket.com/gw-46-13.html,
prod3580144,Wraithknight,https://www.miniaturemarket.com/gw-46-26.html,
prod3530578,Wraithlord,https://www.miniaturemarket.com/gw-46-17.html,
prod4870185,Yvraine,,
