card_name,db_name,gw_sku,faction,include
Stormtalon Gunship,Stormtalon Gunship,SKU: 48-134,Spacemarines,Yes
Suppressor Squad,,,Spacemarines,Yes
Tactical Squad,Space Marine Tactical Squad,SKU: 48-07,Spacemarines,Yes
Techmarine,Techmarine,SKU: 48-135,Spacemarines,Yes
Terminator Assault Squad,Terminator Assault Squad,SKU: 48-136,Spacemarines,Yes
Terminator Squad,Space Marine Terminator Squad,SKU: 48-06,Spacemarines,Yes
Thunderhawk Gunship,,,Spacemarines,Yes
Vanguard Veteran Squad with Jump Packs,Space Marine Vanguard Veteran Squad,SKU: 48-08,Spacemarines,Yes
Vindicator,Space Marine Vindicator,SKU: 48-26,Spacemarines,Yes
Whirlwind,Space Marine Whirlwind,SKU: 48-25,Spacemarines,Yes
